"Group ID","Date Scraped","Product name","Price","Rating","Why Choose","Site Score","Market Demand Score","Price Trend","Conclusion"
"059a039df3","April 20, 2025, 7:20 a.m.","Buy1 Get1 Rosmar Milky Melon | Rosmar Products","345.0","4.85","Rank 1 in Group: This product stood out due to its high rating of 4.85, reflecting strong user satisfaction. It also offers good value at ₱345.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","1.34","stable","Low Priority"
"09cfe0172e","April 20, 2025, 7:19 a.m.","2x Rosmar 24Karat Lip & Cheek Serum 5ml (in new tube/container)","1281.71","0.0","Rank 1 in Group: This product stood out due to its high rating of 0.00, reflecting strong user satisfaction. It also offers good value at ₱1,281.71, making it more affordable compared to others in its category. Being listed on eBay, a platform with a trust score of 0.85, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.85","0.00","stable","Low Priority"
"0e973034cd","April 20, 2025, 7:20 a.m.","Buy 1 Take 1 Rosmar Underarm Cream & Inguinal Butt Cream | Pampaputi Pampakinis Rosmar Lang Malakas","299.0","4.67","Rank 1 in Group: This product stood out due to its high rating of 4.67, reflecting strong user satisfaction. It also offers good value at ₱299.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","1.48","increasing","Low Priority"
"17be1d5735","April 20, 2025, 7:20 a.m.","Rosmar bleaching whipped SCRUB","91.0","4.79","Rank 1 in Group: This product stood out due to its high rating of 4.79, reflecting strong user satisfaction. It also offers good value at ₱91.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","5.00","increasing","Low Priority"
"1a1107a2d5","April 20, 2025, 7:21 a.m.","Rosmar Milkshake Tint | Liptint | Cheektint | Rosmar Skin Essentials Products","49.0","4.75","Rank 1 in Group: This product stood out due to its high rating of 4.75, reflecting strong user satisfaction. It also offers good value at ₱49.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","9.21","decreasing","Low Priority"
"1b158617d8","April 20, 2025, 7:21 a.m.","XPOS Original Rosmar 24 Karat Lip and Cheek Serum 10ml WITH FREEBIES","79.0","4.48","Rank 1 in Group: This product stood out due to its high rating of 4.48, reflecting strong user satisfaction. It also offers good value at ₱79.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","5.39","increasing","Low Priority"
"1ff007a135","April 20, 2025, 7:20 a.m.","HH Original Rosmar Kagayaku Peeling Lotion Instant Whitening 100 ml","49.0","4.35","Rank 1 in Group: This product stood out due to its high rating of 4.35, reflecting strong user satisfaction. It also offers good value at ₱49.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","8.43","increasing","Low Priority"
"29f0e1d3f7","April 20, 2025, 7:21 a.m.","New Jelly Mirror Lip Glaze Transparent Water Glossy Lipgloss Mokka Brown Liquid Lipstick Moisturizing Lasting Red Lip Tint Stain","2.48","3.7","Rank 1 in Group: This product stood out due to its high rating of 3.70, reflecting strong user satisfaction. It also offers good value at ₱2.48, making it more affordable compared to others in its category. Being listed on AliExpress, a platform with a trust score of 0.82, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.82","122.34","decreasing","Recommended"
"3dfb33c111","April 20, 2025, 7:21 a.m.","RHODE Makeup Cheek Blush Cream Blusher Stick Lipgloss Handyhülle für iPhone New Toast SALTY TAN Raspberry Espresso Lipstick INS","2.8","4.7","Rank 1 in Group: This product stood out due to its high rating of 4.70, reflecting strong user satisfaction. It also offers good value at ₱2.80, making it more affordable compared to others in its category. Being listed on AliExpress, a platform with a trust score of 0.82, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.82","137.64","increasing","Consider with Caution"
"3ef7189619","April 20, 2025, 7:20 a.m.","Buy1 Get1 Rosmar Perfume | Beauty & Brain | Nathan Perfume | Loyal | Rosmar Skin Essentials","180.0","4.5","Rank 1 in Group: This product stood out due to its high rating of 4.50, reflecting strong user satisfaction. It also offers good value at ₱180.00, making it more affordable compared to others in its category. Being listed on Shopee, a platform with a trust score of 0.95, adds to its reliability. Availability is also a plus, as the item is currently in stock.","0.95","2.38","stable","Low Priority"
